"Term","Subj","Crse","Crse_Title","CRN","Sect","POT","Camp","Sche_Typ","Inst_Mthd","Contract_Type","Apprv_Seat_Lim","Sect_Seat_Lim","Sect_Seats_Taken","Sect_Seats_Avail","percent_utilization","Start_Dt","End_Dt","Days","Beg_Time","End_Time","Bldg","Rm","Rm_Cap","Instructor","Contract_Type"
202402,MAT,103,"Statistics I",21105,018,FD,A,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,MW,09:30AM,10:45AM,ONLNEA,"RLTIME ONL",999,,
202402,MAT,103,"Statistics I",21766,049,ONL,W,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEW,ONLINE,999,,
202402,MAT,103,"Statistics I",21768,055,ONL,W,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,,,,ONLNEW,ONLINE,999,,
202402,MAT,103,"Statistics I",21769,030,FD,W,LEC,TR,,35,35,0,35,0,1/22/2024,5/14/2024,TR,12:30PM,1:45PM,SFCUA,A124,36,,
202402,MAT,103,"Statistics I",21838,043,FE,W,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,M,6:00PM,8:45PM,ONLNEW,"RLTIME ONL",999,,
202402,MAT,103,"Statistics I",21839,038,FE,W,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,TR,4:00PM,5:15PM,ONLNEW,"RLTIME ONL",999,,
202402,MAT,103,"Statistics I",21841,037,FE,W,LEC,TR,,35,35,0,35,0,1/22/2024,5/14/2024,MW,4:00PM,5:15PM,SFCUA,A115,36,,
202402,MAT,103,"Statistics I",22054,042,FE,W,LEC,TR,,35,35,0,35,0,1/22/2024,5/14/2024,W,6:00PM,8:45PM,SFCUA,A124,36,,
202402,MAT,103,"Statistics I",22172,004,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,F,08:00AM,10:30AM,RIVRHE,201,32,,
202402,MAT,103,"Statistics I",22173,033,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,MW,2:00PM,3:15PM,RIVRHE,201,32,,
202402,MAT,103,"Statistics I",22176,001,FD,A,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,TR,08:00AM,09:15AM,ONLNEA,"RLTIME ONL",999,,
202402,MAT,103,"Statistics I",22178,015,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,MW,09:30AM,10:45AM,RIVRHE,235,32,,
202402,MAT,103,"Statistics I",22180,020,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,TR,11:00AM,12:15PM,RIVRHE,234,32,,
202402,MAT,103,"Statistics I",22182,027,FD,A,LEC,TR,,35,23,0,23,0,1/22/2024,5/14/2024,TR,12:30PM,1:45PM,RIVRHE,235,32,,
202402,MAT,103,"Statistics I",25169,026,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,MW,12:30PM,1:45PM,RIVRHE,204,32,,
202402,MAT,103,"Statistics I",25170,006,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,TR,08:00AM,09:15AM,RIVRHE,236,32,,
202402,MAT,103,"Statistics I",26013,017,FD,W,LEC,TR,,35,35,0,35,0,1/22/2024,5/14/2024,MW,09:30AM,10:45AM,SFCUA,A124,36,,
202402,MAT,103,"Statistics I",26683,025,FD,A,LEC,TR,,35,32,0,32,0,1/22/2024,5/14/2024,TR,12:30PM,1:45PM,RIVRHE,202,32,,
202402,MAT,103,"Statistics I",29161,021,FD,W,LEC,TR,,35,35,0,35,0,1/22/2024,5/14/2024,TR,11:30AM,12:45PM,ONLNEW,"RLTIME ONL",999,,
202402,MAT,103,"Statistics I",29863,019,FD,E,LEC,TR,,35,30,0,30,0,1/22/2024,5/14/2024,TR,11:00AM,12:15PM,SHNCCK,215,30,,
202402,MAT,103,"Statistics I",32176,012,FD,E,LEC,BLBD,,35,35,0,35,0,1/22/2024,5/14/2024,MW,09:30AM,10:45AM,ONLNEE,"RLTIME ONL",999,,
